Estado de aprovisionamiento
Identificador de suscripción,Nombre de la suscripción,Identificador de orden,Descripción,Fecha de facturación (aniversario),Nombre de la oferta,Nombre del servicio,Estado de suscripción,Estado de suscripción extra,Estado de aprovisionamiento
"""fb72b3ea-c30d-4302-bef3-d3cb42937144""","""Pago por uso""","""9f370582-2777-4298-8d4f-2964ff7e2f50""","""Pago por uso""",2,,"""Azure Service Component""",Enabled,None,Provisioned

Declaración
Período de facturación, Categoría de medición,Subcategoría de medición,Nombre de medición,Región de medidor,Referencia de almacén,Unidad,Cantidad consumida,Cantidad incluida,Dentro del compromiso,Cantidad excedente,Divisa,Uso por encima del límite,Tarifa de compromiso,Tarifa,Valor
201708(02/07/2017 - 01/08/2017),"""Redes""",,"""Transferencia de datos de entrada (GB)""","""Zona 1""",,"""GB""",0.00046358,0.00000000,0,0.00046358,USD,0,0,0,"$0,00 USD"
201708(02/07/2017 - 01/08/2017),"""Redes""",,"""Transferencia de datos de salida (GB)""","""Zona 1""","""7TD-00001""","""GB""",0.06933130,5.00000000,0,0.0,USD,0,0,0,"$0,00 USD"
201708(02/07/2017 - 01/08/2017),"""Servicio de aplicaciones de Azure""",,"""Servicio de aplicaciones gratis""",,,"""Aplicaciones""",0.34540800,10.00000000,0,0.0,USD,0,0,0,"$0,00 USD"
201708(02/07/2017 - 01/08/2017),"""Servicios de datos""","""Base de datos SQL""","""Días de base de datos para Basic""",,"""8YD-00001""","""Días""",10.70833419,0.00000000,0,10.70833419,USD,0,0,0.1606225552435807945213185395,"$1,72 USD"

Uso diario
Fecha de uso, Categoría de medición,Id. de medidor,Subcategoría de medición,Nombre de medición,Región de medidor,Unidad,Cantidad consumida,Ubicación del recurso,Servicio consumido,Grupo de recursos,Id. de instancia,Etiquetas,Información adicional,Información de servicio 1,Información de servicio 2
01/07/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.004032,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
01/07/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001425,"""southcentralus""","""Microsoft.Web""","""ResTNRumbo""","""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/sites/tnrumbo""","""{}""","""{""AppServicePlanUri"":""/subscriptions/f28c40d3-c7b5-40df-9020-14cb017208f1/resourceGroups/ResTNRumbo/providers/Microsoft.Web/serverfarms/AppTNRumbo""}""",,
01/07/2017,"""Data Services""","""cae64797-9ecf-4906-b517-6238c80c045f""","""SQL Database""","""Basic Database Days""",,"""Days""",0.166666666666666656,"""southcentralus""","""Microsoft.Sql""","""ResTNRumbo""","""/subscriptions/F28C40D3-C7B5-40DF-9020-14CB017208F1/resourceGroups/ResTNRumbo/providers/Microsoft.Sql/servers/tnrumbo/databases/DB_A06BA4_transportes""","""{}""","""{}""",,
